Test Type,Test Set,TC-ID,Summary,Action,Expected Result
Manual,Positive-Message ,TCMessage-0047,Verify that message contacts list will get display based on recent conversations,,
Manual,Positive-Message ,TCMessage-0048,Verify that scroll bar display wherever necessary,,
Manual,Positive-Message ,TCMessage-0049,Verify that all labels are display correctly,,
Manual,Positive-Message ,TCMessage-0050,"Verify that profile pictures display clearly

",,
Manual,Positive-Message ,TCMessage-0051,Check that user can know that read or not ,,
Manual,Positive-Message ,TCMessage-0052,Try copy anything then paste on story text area,,
Manual,Positive-Message ,TCMessage-0053,Try Selecting All story text area,,
Manual,Positive-Message ,TCMessage-0054,Try Cutting anything From story text area,,
Manual,Positive-Message ,TCMessage-0055,Check Add story then make app in Background,,
Manual,Positive-Message ,TCMessage-0056,send message with mixed phootos from cam ,,
Manual,Positive-Message ,TCMessage-0057,send message with mixed phootos from  gallery ,,
Manual,Positive-Message ,TCMessage-0058,send message with mixed Videos from cam ,,
Manual,Positive-Message ,TCMessage-0059,send message with mixed Videos from  gallery ,,
Manual,Positive-Message ,TCMessage-0060,send message with mixed Videos & photos  from cam ,,
Manual,Positive-Message ,TCMessage-0061,send message with mixed Videos & photos  from gallery,,
Manual,Positive-Message ,TCMessage-0062,send message with Multiple photos  from cam ,,
Manual,Positive-Message ,TCMessage-0063,send message with Multiple photos  from cam ,,
Manual,Positive-Message ,TCMessage-0064,send message with Multiple Video from cam ,,
Manual,Positive-Message ,TCMessage-0065,send message with Multiple Video from  gallery ,,
Manual,Positive-Message ,TCMessage-0066,Edit The Selected photo from cam ,,
Manual,Positive-Message ,TCMessage-0067,Edit The Selected photo from gallery ,,
Manual,Positive-Message ,TCMessage-0068,Edit The Selected Video from  gallery ,,
Manual,Positive-Message ,TCMessage-0069,Edit The Selected Video from cam ,,
Manual,Positive-Message ,TCMessage-0070,Verify that send message Mixed videos from cam with mixed photos from Gallery ,,
Manual,Positive-Message ,TCMessage-0071,send message  with mixed Videos & photos  from cam ,,
Manual,Positive-Message ,TCMessage-0072,send message  with mixed Videos & photos  from gallery,,
Manual,Positive-Message ,TCMessage-0073,send message with Multiple photos  from cam ,,
Manual,Negative -Message ,TCMessage-0074,Verify thatsend message with image of unsupported Media type,,
Manual,Negative -Message ,TCMessage-0075,Verify thatsend message with image size exceeding maximum allowed size,,
Manual,Negative -Message ,TCMessage-0076,Verify that send message with size less than the allowed minimum size,,
Manual,Negative -Message ,TCMessage-0077,Verify that send message with larger dimension than permitted,,
Manual,Negative -Message ,TCMessage-0078,Verify that send message with smaller dimension than permitted,,
Manual,Negative -Message ,TCMessage-0079,Verify that send message with Video of unsupported Media type,,
Manual,Negative -Message ,TCMessage-0080,Verify that send message withVideo with size smaller than min size,,
Manual,Negative -Message ,TCMessage-0081,Verify thatsend message with Video with size Larger than Max size,,
Manual,Negative -Message ,TCMessage-0082,Check send message While Incoming Calls,,
Manual,Negative -Message ,TCMessage-0083,Check send message While Drop down Network,,
Manual,Negative -Message ,TCMessage-0084,Check send messageand make app paly in background then open it,,
Manual,Negative -Message ,TCMessage-0085,Check send message and make app paly in background then remove app from background,,
Manual,Negative -Message ,TCMessage-0086,Check send message While Incoming SMS,,
Manual,Negative -Message ,TCMessage-0087,send message  and battery is discharged or any other kind of interruption takes place,,
Manual,Negative -Message ,TCMessage-0088,send message  And While sending Press back then discard story ,,
Manual,Negative -Message ,TCMessage-0089,Try send message  Doc as PDF Format,,
Manual,Negative -Message ,TCMessage-0090,Verify  the image quality after upload while send message,,
Manual,Negative -Message ,TCMessage-0091,Verify  that blocked can't send message ,,
Manual,Negative -Message ,TCMessage-0092,Verify sending audio while network drop down ,,
Manual,Negative -Message ,TCMessage-0093,Verify sending audio while incomming calls,,
Manual,Negative -Message ,TCMessage-0094,Verify sending audio while incomming SMS,,
Manual,Negative -Message ,TCMessage-0095,Verify sending audio then deleting for everyone ,,
Manual,Negative -Message ,TCMessage-0096,Verify sending audio then unsend it ,,
Manual,Negative -Message ,TCMessage-0097,Verify sending audio then deleting for me ,,
